station,platform,gate_id,train,train_type,operator,destination,status,door_state,sensor_temp,sensor_vib,people,capacity,occupancy_rate,eta,delay,platform_length,door_position,sync_score,maintenance_status,risk_score,signal_status,track_number,last_maintenance,power_consumption,humidity,door_motor_current,connection_line
Köln Messe/Deutz,A,G01,RE 203,Regional,DB Regio,Düsseldorf Hbf,approaching,closing,22.8,0.9,22,400,5.5,0,4,360,middle,100,OPTIMAL,16,green,17,2024-04-17,42.0,67,1.2,U5
Köln Messe/Deutz,A,G02,ICE 793,Higher Speed,DB Regio,Koeln Hbf,departed,closing,27.0,1.0,28,320,8.8,0,10,360,middle,94,OPTIMAL,5,green,5,2024-08-15,16.1,54,2.4,U4
Köln Messe/Deutz,A,G03,RE 9736,Regional,DB Regio,Koeln Hbf,approaching,closing,24.4,0.5,20,800,2.5,5,9,380,middle,97,OPTIMAL,17,green,4,2024-09-24,42.1,56,2.1,U6
Köln Messe/Deutz,B,G01,S11,S-Bahn,DB Regio,Düsseldorf Hbf,departed,open,25.3,0.3,18,800,2.2,0,7,420,middle,92,OPTIMAL,4,green,10,2024-06-28,10.2,66,0.7,U8
Köln Messe/Deutz,B,G02,ICE 1579,ICE,DB Regio,Düsseldorf Hbf,clear,closing,22.2,0.9,24,320,7.5,0,0,420,middle,96,OPTIMAL,21,green,8,2024-08-04,31.3,52,1.3,U5
Köln Messe/Deutz,B,G03,ICE 850,Higher Speed,DB Regio,Koeln Hbf,departed,closed,27.4,0.1,4,800,0.5,0,6,380,middle,99,WARNING,26,yellow,12,2024-01-26,39.2,64,1.3,U8
Düsseldorf Flughafen,A,G01,RE 7038,Regional,DB Regio,Dortmund Hbf,approaching,closing,26.2,1.3,23,800,2.9,4,10,380,middle,100,MONITOR,20,green,12,2024-06-12,10.1,58,1.0,U7
Düsseldorf Flughafen,A,G02,ICE 535,Higher Speed,DB Regio,Duesseldorf Hbf,clear,closing,25.0,1.2,30,200,15.0,0,0,380,middle,99,OPTIMAL,9,green,4,2024-09-27,44.7,67,0.7,U8
Düsseldorf Flughafen,A,G03,S3,S-Bahn,DB Regio,Dortmund Hbf,approaching,closed,26.1,1.2,5,400,1.2,3,7,420,right,94,OPTIMAL,27,green,14,2024-10-21,9.7,55,2.5,U4
Düsseldorf Flughafen,B,G01,S1,S-Bahn,DB Regio,Essen Hbf,departed,closed,22.3,1.3,11,800,1.4,0,1,360,middle,99,MONITOR,27,green,2,2024-03-05,43.1,57,1.7,U3
Düsseldorf Flughafen,B,G02,RE 1339,Regional,DB Regio,Essen Hbf,clear,open,21.9,0.3,32,800,4.0,0,0,420,left,93,OPTIMAL,2,green,7,2024-09-05,33.3,66,2.3,U4
Düsseldorf Flughafen,B,G03,S5,S-Bahn,DB Regio,Duesseldorf Hbf,departed,closed,21.5,1.2,4,320,1.2,0,-1,360,middle,96,OPTIMAL,22,green,5,2024-01-06,18.0,63,0.8,U8
Hamburg Altona,A,G01,ICE 1594,ICE,DB Fernverkehr,Kiel Hbf,approaching,closed,26.3,0.8,5,320,1.6,5,9,360,right,93,OPTIMAL,14,green,13,2024-06-25,21.0,64,1.2,U2
Hamburg Altona,A,G02,ICE 848,ICE,DB Fernverkehr,Flensburg,clear,closing,21.7,0.6,23,400,5.8,0,0,400,right,93,OPTIMAL,16,green,9,2024-04-07,20.4,50,1.0,U2
Hamburg Altona,A,G03,ICE 233,Higher Speed,DB Fernverkehr,Kiel Hbf,arrived,closed,25.1,1.0,11,400,2.8,0,0,420,right,95,OPTIMAL,1,green,11,2024-05-19,44.0,63,1.5,U3
Hamburg Altona,B,G01,RE 7587,Regional,DB Fernverkehr,Hamburg Hbf,departed,closing,26.9,0.2,26,320,8.1,0,1,360,right,90,OPTIMAL,5,green,16,2024-10-06,30.9,54,1.6,U8
Hamburg Altona,B,G02,ICE 508,Higher Speed,DB Fernverkehr,Kiel Hbf,approaching,open,24.7,0.9,29,320,9.1,1,2,360,middle,92,OPTIMAL,0,green,16,2024-12-16,14.4,53,2.6,U7
Hamburg Altona,B,G03,S9,S-Bahn,DB Fernverkehr,Kiel Hbf,approaching,open,26.7,0.3,23,200,11.5,2,5,420,left,97,OPTIMAL,15,green,9,2024-12-18,16.6,48,0.9,U8
Stuttgart Flughafen,A,G01,ICE 597,Higher Speed,DB Regio,Ulm Hbf,arrived,closing,21.7,0.4,29,800,3.6,0,0,420,middle,96,OPTIMAL,8,green,8,2024-02-26,12.5,63,2.0,U2
Stuttgart Flughafen,A,G02,ICE 650,ICE,DB Regio,Stuttgart Hbf,approaching,closing,24.0,0.3,20,800,2.5,1,4,360,left,100,OPTIMAL,7,green,6,2024-09-12,15.0,65,2.1,U7
Stuttgart Flughafen,A,G03,ICE 1626,Higher Speed,DB Regio,Stuttgart Hbf,departed,closing,26.0,0.9,29,800,3.6,0,5,420,right,93,OPTIMAL,3,green,2,2024-01-26,17.2,51,1.8,U2
Stuttgart Flughafen,B,G01,ICE 495,Higher Speed,DB Regio,Ulm Hbf,clear,open,25.6,1.3,25,320,7.8,0,0,420,middle,92,MONITOR,32,green,15,2024-04-17,38.2,52,0.7,U8
Stuttgart Flughafen,B,G02,ICE 1395,Higher Speed,DB Regio,Ulm Hbf,approaching,closing,22.9,0.5,23,400,5.8,2,11,400,right,94,OPTIMAL,27,green,2,2024-10-24,34.3,56,1.5,U1
Stuttgart Flughafen,B,G03,ICE 1940,Higher Speed,DB Regio,Ulm Hbf,arrived,closing,23.8,1.1,29,320,9.1,0,0,360,middle,97,OPTIMAL,10,green,9,2024-01-22,29.0,60,1.2,U2
Hannover Messe/Laatzen,A,G01,ICE 337,Higher Speed,DB Regio,Goettingen,clear,closing,23.5,1.3,35,800,4.4,0,0,420,middle,91,MONITOR,26,green,13,2024-06-13,25.6,62,2.5,U2
Hannover Messe/Laatzen,A,G02,RE 9905,Regional,DB Regio,Hannover Hbf,arrived,closed,26.4,0.4,4,200,2.0,0,0,420,middle,95,OPTIMAL,22,green,16,2024-04-16,27.1,52,1.2,U3
Hannover Messe/Laatzen,A,G03,S1,S-Bahn,DB Regio,Bremen Hbf,departed,closed,22.8,0.1,10,400,2.5,0,-1,420,left,95,OPTIMAL,29,green,15,2024-04-01,10.8,67,2.2,U1
Hannover Messe/Laatzen,B,G01,ICE 780,Higher Speed,DB Regio,Bremen Hbf,departed,closed,22.7,0.2,8,200,4.0,0,-2,360,middle,100,OPTIMAL,7,green,15,2024-09-27,39.6,66,2.0,U6
Hannover Messe/Laatzen,B,G02,S2,S-Bahn,DB Regio,Bremen Hbf,approaching,closed,24.2,1.4,4,400,1.0,17,3,380,left,91,WARNING,25,yellow,9,2024-08-25,26.7,60,1.5,U2
Hannover Messe/Laatzen,B,G03,RE 6813,Regional,DB Regio,Goettingen,clear,closed,26.1,0.8,3,800,0.4,0,0,380,middle,91,OPTIMAL,7,green,4,2024-07-20,39.0,59,1.0,U4
Leipzig/Halle Flughafen,A,G01,S10,S-Bahn,DB Regio,Halle Hbf,departed,closed,26.9,1.0,5,400,1.2,0,-2,360,right,98,OPTIMAL,9,green,11,2024-06-20,15.6,61,1.3,U1
Leipzig/Halle Flughafen,A,G02,ICE 997,Higher Speed,DB Regio,Leipzig Hbf,departed,closed,25.8,0.4,4,400,1.0,0,5,380,middle,97,OPTIMAL,15,green,10,2024-04-28,15.8,67,2.3,U8
Leipzig/Halle Flughafen,A,G03,ICE 1591,ICE,DB Regio,Halle Hbf,clear,closing,27.4,0.3,17,200,8.5,0,0,380,middle,91,WARNING,36,yellow,10,2024-05-01,10.7,63,1.2,U3
Leipzig/Halle Flughafen,B,G01,ICE 436,Higher Speed,DB Regio,Leipzig Hbf,approaching,open,27.2,0.4,14,320,4.4,2,-1,380,middle,99,WARNING,29,yellow,13,2024-06-17,23.8,58,1.4,U8
Leipzig/Halle Flughafen,B,G02,RE 4194,Regional,DB Regio,Halle Hbf,arrived,closed,25.7,0.8,2,400,0.5,0,0,380,middle,91,OPTIMAL,11,green,6,2024-04-25,8.3,65,2.0,U3
Leipzig/Halle Flughafen,B,G03,S4,S-Bahn,DB Regio,Leipzig Hbf,arrived,closing,26.1,0.6,33,320,10.3,0,0,420,middle,99,OPTIMAL,5,green,14,2024-05-07,40.2,51,2.1,U7
